customerid,firstpurchasedate,lastpurchasedate,totalpurchases,totalrevenue,referralsource,churnindicator,discountsused,productcategory,responsetolastcampaign,feedbackscore,preferredpaymentmethod,supportticketsraised,hasloyaltycard,frequency
26862,2020-01-18,2020-02-08,14,4428,Influencer endorsements,0,0,T94,ignored,4.385928516293164,apple pay,0,no,14
38967,2019-07-14,2021-07-22,20,5413,Influencer endorsements,1,3,Q47,opened mail,5.0,google pay,0,no,5
26581,2021-08-06,2023-03-30,11,6424,Word of mouth,0,0,B11,ignored,5.0,credit card,0,no,6
7877,2021-08-14,2023-01-11,22,10239,Email campaigns,0,1,C05,ignored,3.549052939857669,debit card,0,no,16
29701,2019-06-20,2021-01-15,4,10191,In-store promotions,1,4,Z06,opened mail,5.0,cash,0,no,2
41270,2020-02-05,2021-11-27,15,5154,Event sponsorships,1,3,Z58,opened mail,5.0,cash,0,no,8
44788,2020-04-13,2021-08-03,18,8135,Email campaigns,0,5,T09,ignored,5.0,debit card,0,no,11
18651,2019-04-14,2019-08-06,29,5638,Traditional media outreach,0,0,Z08,purchased,5.0,cash,0,no,9
9364,2021-04-17,2023-07-04,20,6306,Email campaigns,1,5,W46,ignored,5.0,debit card,0,no,18
11923,2022-09-06,2023-04-01,4,11799,Social media promotions,0,5,U95,ignored,5.0,debit card,0,no,3
15746,2020-05-20,2021-09-08,30,12361,In-store promotions,0,5,J56,opened mail,5.0,cash,0,no,16
9919,2021-12-09,2022-12-03,26,9001,Social media promotions,1,0,G35,ignored,5.0,debit card,0,no,18
27508,2020-11-18,2022-09-25,5,5860,Social media promotions,1,1,T81,ignored,4.070557955265424,debit card,0,no,1
44743,2020-07-08,2021-02-21,13,12069,Social media promotions,0,6,C19,ignored,5.0,debit card,0,no,11
12029,2019-12-24,2020-07-24,16,5816,In-store promotions,0,6,Y72,opened mail,4.97896576645194,cash,0,no,6
19443,2019-12-22,2023-04-18,18,12166,In-store promotions,0,0,O10,opened mail,1.35388040646361,cash,0,yes,12
31609,2021-03-02,2021-04-15,30,5828,Social media promotions,1,6,W11,ignored,4.460536621836976,debit card,0,no,30
28995,2022-05-05,2023-06-25,16,8778,Online advertisements,0,2,E66,ignored,3.653087250956375,debit card,0,yes,15
28643,2022-05-05,2022-07-31,23,11929,Social media promotions,0,6,G83,ignored,3.6484977511691072,debit card,0,yes,23
8704,2021-08-11,2023-07-14,10,8874,Influencer endorsements,1,4,Y97,ignored,4.949894980018624,debit card,0,no,7
40868,2019-02-06,2020-06-27,18,7471,Online advertisements,1,0,A51,ignored,2.857564140399125,credit card,0,yes,14
39047,2020-10-25,2022-01-08,19,4955,In-store promotions,0,6,Z24,opened mail,5.0,cash,0,no,6
38869,2021-01-02,2021-11-01,31,5963,Social media promotions,1,0,X05,ignored,2.9516272257783105,debit card,0,yes,16
23673,2021-08-05,2022-02-04,19,5440,Online advertisements,1,1,N55,ignored,4.2307653854831715,debit card,0,no,7
5499,2020-03-27,2022-09-01,27,7086,Word of mouth,0,2,I20,ignored,2.6170541946217925,credit card,0,yes,4
24713,2021-08-07,2022-11-07,27,6953,Online advertisements,1,0,E86,ignored,2.8871967667221563,credit card,0,yes,22
7259,2020-11-13,2022-11-18,31,6179,Traditional media outreach,1,4,J53,purchased,4.624138158278102,cash,0,no,4
33070,2020-07-05,2021-12-03,13,4475,Online advertisements,0,6,P81,ignored,5.0,debit card,0,no,12
38942,2019-05-23,2022-06-22,24,8726,Word of mouth,1,4,R46,ignored,5.0,credit card,0,no,18
27960,2019-07-05,2020-07-09,14,10235,Social media promotions,0,6,X36,ignored,5.0,debit card,0,no,8
32030,2019-11-28,2021-11-28,17,9457,Online advertisements,0,0,F95,ignored,5.0,debit card,0,no,3
9788,2020-12-25,2022-06-06,10,6749,Word of mouth,1,5,I21,ignored,4.379568028569926,credit card,0,no,3
20315,2022-06-13,2022-09-02,6,7173,Online advertisements,1,6,X47,ignored,4.739556375099305,debit card,0,no,6
22556,2020-05-12,2021-05-29,4,6662,Influencer endorsements,1,5,E31,ignored,2.030402901078649,debit card,0,yes,1
35153,2019-04-07,2022-03-16,23,7629,Influencer endorsements,0,2,K83,ignored,5.0,debit card,0,no,20
16976,2019-11-01,2021-03-20,24,4792,Online advertisements,1,4,C81,ignored,2.9346267325275783,debit card,0,yes,2
34889,2019-03-08,2022-05-05,27,5508,Social media promotions,0,5,R59,ignored,5.0,debit card,0,no,12
7453,2020-05-08,2021-05-31,16,8762,Traditional media outreach,1,4,D20,purchased,4.02129983792693,cash,1,no,14
36712,2019-05-19,2023-04-19,8,9588,Online advertisements,1,6,Y97,ignored,4.027909804395484,debit card,0,no,5
21707,2020-04-29,2023-06-02,27,9457,Online advertisements,1,6,F13,ignored,5.0,credit card,0,no,19
17744,2020-04-04,2022-09-01,14,8398,Online advertisements,0,2,T74,ignored,5.0,credit card,0,no,1
20320,2019-07-15,2020-05-10,10,10966,Social media promotions,1,6,L47,ignored,5.0,debit card,0,no,2
45346,2020-01-20,2020-09-14,17,8077,Influencer endorsements,1,2,E48,opened mail,5.0,google pay,0,no,11
47762,2020-04-12,2022-12-06,32,10196,Online advertisements,0,5,S69,ignored,5.0,credit card,0,no,9
12456,2020-04-11,2021-06-04,29,10763,Influencer endorsements,0,6,B33,ignored,5.0,apple pay,0,no,12
24662,2019-06-23,2021-10-18,7,12523,Word of mouth,1,0,G56,ignored,5.0,credit card,0,no,6
15586,2022-11-20,2023-03-09,11,12622,Social media promotions,1,3,O02,ignored,4.301520403888636,debit card,0,no,1
16677,2021-05-27,2022-04-04,25,12090,Influencer endorsements,1,1,C67,opened mail,5.0,afterpay,0,no,13
22319,2019-05-01,2020-07-01,13,5800,Online advertisements,0,3,B25,ignored,5.0,debit card,0,no,7
42959,2019-08-05,2019-11-19,17,8471,Influencer endorsements,0,3,W71,ignored,4.956584860725299,debit card,0,no,2
37187,2020-02-06,2022-04-28,28,7186,Online advertisements,0,4,V08,ignored,5.0,credit card,0,no,10
44465,2019-06-12,2020-02-18,28,11569,Influencer endorsements,0,2,C87,opened mail,5.0,google pay,0,no,7
49304,2021-03-22,2022-07-27,1,5270,Word of mouth,1,4,J26,ignored,4.509783365741584,credit card,0,no,1
37942,2021-11-04,2023-07-17,22,8596,In-store promotions,0,5,W75,opened mail,4.942965495685046,cash,0,no,7
8298,2019-02-11,2023-06-24,29,7139,Online advertisements,0,1,W55,ignored,4.398659092067609,credit card,0,no,5
35432,2020-12-04,2021-12-05,9,5340,In-store promotions,0,5,Z20,opened mail,5.0,cash,0,no,2
47203,2022-12-06,2023-07-18,18,4740,Online advertisements,1,0,T13,ignored,5.0,debit card,0,no,4
34131,2019-07-02,2020-11-04,24,11822,Influencer endorsements,1,1,O03,ignored,2.852775204165229,apple pay,0,yes,7
14804,2021-10-15,2023-05-26,27,8533,Online advertisements,0,4,H18,ignored,5.0,debit card,0,no,17
40943,2021-06-04,2021-10-07,21,5059,Event sponsorships,0,6,A71,opened mail,1.3542523035022391,cash,0,yes,6
19829,2023-01-30,2023-02-09,2,7857,Word of mouth,1,6,Y94,ignored,5.0,credit card,0,no,2
29865,2020-10-23,2023-07-05,29,7375,Online advertisements,1,4,Q48,ignored,4.1332297072768425,credit card,0,no,11
43397,2020-09-01,2023-03-07,26,4853,Social media promotions,1,5,N79,ignored,4.005359304625596,debit card,0,no,22
9400,2020-04-24,2020-10-12,11,12584,Word of mouth,1,4,Q28,ignored,5.0,credit card,0,no,8
38201,2022-04-24,2023-03-19,27,9842,Online advertisements,1,4,T71,ignored,2.6050057197835423,credit card,0,yes,11
9613,2021-07-06,2023-05-22,28,5218,Traditional media outreach,1,3,L12,purchased,3.7116807696613874,cash,0,no,11
37880,2019-11-24,2023-02-16,17,9268,Traditional media outreach,1,0,E67,purchased,4.826610966351967,cash,1,no,6
34912,2021-01-23,2022-04-15,26,4412,Online advertisements,1,6,L10,ignored,4.92666355939447,debit card,0,no,19
14103,2019-10-11,2023-07-04,27,12127,Event sponsorships,0,3,E30,opened mail,4.4121123469647685,cash,0,no,8
26077,2021-01-17,2021-06-30,13,5320,Influencer endorsements,0,4,H65,ignored,5.0,debit card,0,no,4
8840,2021-01-06,2021-09-08,18,9320,Online advertisements,0,2,U17,ignored,5.0,credit card,0,no,9
44369,2021-10-05,2022-08-24,28,6818,Influencer endorsements,0,3,Y95,ignored,5.0,apple pay,0,no,8
5480,2019-02-09,2022-09-21,27,10875,Influencer endorsements,0,4,W80,ignored,5.0,paypal,0,no,11
20420,2019-09-20,2021-12-18,14,6417,Traditional media outreach,0,6,W48,purchased,4.448569097830762,eft,1,no,5
25565,2021-04-02,2022-01-22,15,12357,Online advertisements,1,4,K69,ignored,4.21128143849875,credit card,0,no,10
46537,2019-07-26,2021-10-14,28,9192,Influencer endorsements,1,0,H60,ignored,4.286924941937816,paypal,0,no,25
41043,2019-09-12,2021-07-11,18,11230,Word of mouth,0,5,E61,ignored,5.0,credit card,0,no,7
26899,2021-07-12,2023-05-19,2,6834,Word of mouth,0,1,O08,ignored,5.0,credit card,0,no,2
42870,2019-04-14,2021-11-12,31,7268,Word of mouth,1,3,K06,ignored,4.557371557718022,credit card,0,no,17
46739,2019-12-24,2020-10-20,22,5838,Traditional media outreach,1,3,E00,purchased,4.412403756736592,eft,<2,no,1
49482,2021-06-27,2022-03-09,13,7943,In-store promotions,1,3,Y75,opened mail,4.168969255519819,cash,0,no,11
26413,2020-07-12,2022-03-15,26,6181,Influencer endorsements,0,4,F38,opened mail,5.0,sezzle,0,no,19
16974,2019-08-03,2022-11-22,25,10743,Email campaigns,1,0,A63,ignored,5.0,debit card,0,no,14
13225,2021-06-03,2022-09-22,18,6663,Online advertisements,0,4,E25,ignored,4.057700469491044,debit card,0,no,13
14798,2020-05-19,2021-10-20,20,4611,Word of mouth,0,4,G79,ignored,5.0,credit card,0,no,4
40899,2019-05-05,2021-12-13,22,10559,Online advertisements,1,5,O14,ignored,4.795717601466101,debit card,0,no,14
39507,2020-07-17,2023-06-19,14,11427,Online advertisements,1,2,V17,ignored,5.0,debit card,0,no,7
43373,2020-11-25,2022-01-20,29,4731,Influencer endorsements,0,0,T04,opened mail,5.0,google pay,0,no,5
36015,2020-03-27,2021-02-11,16,11260,Email campaigns,1,3,N48,ignored,5.0,debit card,0,no,11
41933,2021-01-29,2023-08-25,22,12444,Word of mouth,1,1,T98,ignored,2.2226129123735605,credit card,0,yes,5
31810,2020-06-23,2021-06-24,24,12569,Word of mouth,0,3,E58,ignored,4.119160265194874,credit card,0,no,13
35769,2019-08-14,2021-01-05,16,10120,Word of mouth,1,4,W58,ignored,4.501118117331086,credit card,0,no,4
20618,2020-01-14,2023-05-29,28,5127,Social media promotions,0,0,R82,ignored,4.646190169533237,debit card,0,no,15
27197,2021-05-25,2022-07-23,15,9375,Event sponsorships,0,6,V47,opened mail,5.0,cash,0,no,5
15713,2019-06-21,2021-01-04,21,7643,Influencer endorsements,1,0,N68,ignored,5.0,debit card,0,no,1
37072,2020-01-14,2022-12-31,30,5048,In-store promotions,0,0,Z97,opened mail,3.056751182173024,cash,0,yes,23
7980,2020-09-11,2022-05-22,23,9495,Social media promotions,0,2,T14,ignored,4.4282016127583725,debit card,0,no,3
28969,2021-08-26,2021-11-08,14,11014,Online advertisements,1,3,G59,ignored,4.238570523945693,debit card,0,no,14
49222,2020-06-20,2021-09-28,13,11535,Word of mouth,1,2,C91,ignored,5.0,credit card,0,no,6
25374,2019-08-25,2021-04-04,18,5409,In-store promotions,1,6,R72,opened mail,5.0,cash,0,no,16
18278,2020-08-29,2021-10-26,25,5950,Influencer endorsements,0,6,F60,opened mail,4.281335740806415,sezzle,0,no,10
16105,2019-08-14,2021-12-09,27,11892,Word of mouth,0,5,O59,ignored,2.0952180790694084,credit card,0,yes,1
32548,2019-02-08,2021-09-11,6,7801,Email campaigns,1,1,J17,ignored,5.0,debit card,0,no,2
6023,2020-07-27,2022-07-18,13,11847,Social media promotions,0,5,S04,ignored,5.0,debit card,0,no,6
39390,2019-12-11,2021-04-05,21,9824,Influencer endorsements,1,4,S79,ignored,4.322422166113454,debit card,0,no,17
38616,2019-10-09,2020-08-05,16,8641,Traditional media outreach,1,2,A94,purchased,5.0,cash,0,no,1
30577,2019-03-31,2023-05-16,29,7561,Influencer endorsements,0,2,K64,ignored,5.0,debit card,0,no,4
46037,2020-04-21,2023-04-08,18,8555,Influencer endorsements,1,5,Q35,ignored,5.0,debit card,0,no,5
30524,2021-01-04,2022-07-18,17,11878,Word of mouth,0,4,A85,ignored,5.0,credit card,0,no,6
5523,2021-06-22,2021-12-24,12,11017,Word of mouth,0,0,C62,ignored,4.166801740370835,credit card,0,no,10
17854,2019-08-12,2022-06-08,28,10060,Online advertisements,1,4,U64,ignored,5.0,credit card,0,no,27
14058,2020-09-10,2021-10-24,21,5576,Word of mouth,0,3,L44,ignored,4.192597683261459,credit card,0,no,20
33283,2022-12-11,2023-06-17,18,12356,Influencer endorsements,1,5,N19,opened mail,4.762267022537447,google pay,0,no,13
49790,2020-08-13,2021-02-24,12,6633,Influencer endorsements,0,4,K86,ignored,2.06102771143242,apple pay,0,yes,7
42909,2021-01-24,2023-04-21,3,9100,Word of mouth,0,0,O26,ignored,4.997402706943034,credit card,0,no,2
44804,2021-01-08,2023-02-15,17,10306,In-store promotions,0,4,E69,opened mail,4.522686391166261,cash,0,no,13
42863,2019-06-06,2020-01-29,15,12260,Word of mouth,1,2,V13,ignored,5.0,credit card,0,no,7
23152,2021-05-02,2021-05-23,20,11926,Online advertisements,0,1,J93,ignored,5.0,debit card,0,no,20
48531,2019-03-05,2023-05-07,30,9959,Online advertisements,1,2,J18,ignored,5.0,credit card,0,no,19
46506,2019-05-22,2021-05-16,22,11132,Online advertisements,0,6,O03,ignored,4.471456340880797,debit card,0,no,3
11415,2019-03-14,2021-05-27,5,6913,Online advertisements,0,1,F65,ignored,4.32906128496455,credit card,0,no,4
41313,2022-11-16,2023-07-18,5,12230,Social media promotions,1,6,X13,ignored,5.0,debit card,0,no,5
9160,2020-05-09,2021-01-20,12,11344,Social media promotions,1,4,P66,ignored,4.925651206933259,debit card,0,no,1
16141,2021-07-13,2023-01-19,18,12310,Traditional media outreach,1,3,A42,purchased,5.0,eft,1,no,4
5512,2019-03-13,2021-09-20,30,10049,Word of mouth,1,4,D80,ignored,4.436393259429842,credit card,0,no,12
47495,2020-06-17,2023-02-11,28,5496,Word of mouth,1,0,G47,ignored,5.0,credit card,0,no,9
41888,2020-01-09,2021-07-15,27,6351,Word of mouth,0,4,K59,ignored,2.0861788274280357,credit card,0,yes,11
27902,2022-09-19,2023-02-04,24,12199,Influencer endorsements,0,1,B46,ignored,5.0,debit card,0,no,4
17143,2021-02-04,2021-10-14,10,4995,Word of mouth,1,2,M55,ignored,5.0,credit card,0,no,10
26245,2020-10-01,2021-10-27,23,12275,In-store promotions,0,3,P36,opened mail,5.0,cash,0,no,1
33911,2020-05-05,2023-05-03,34,8839,Email campaigns,0,6,G36,ignored,5.0,debit card,0,no,25
6640,2020-10-10,2022-01-06,21,10372,Email campaigns,0,4,O40,ignored,4.781967563070658,debit card,0,no,9
27507,2019-10-14,2021-01-01,29,5258,Influencer endorsements,1,4,N88,ignored,5.0,debit card,0,no,18
39453,2019-10-08,2023-04-02,31,9919,Online advertisements,0,2,W14,ignored,4.192049766396037,credit card,0,no,16
26375,2020-12-08,2021-06-11,26,11785,Online advertisements,0,3,H49,ignored,5.0,credit card,0,no,7
9178,2020-12-02,2022-07-28,20,8717,Online advertisements,0,5,I35,ignored,3.742908846048803,debit card,0,no,14
30026,2020-07-30,2022-05-17,24,7854,Influencer endorsements,1,6,V13,ignored,5.0,debit card,0,no,4
35690,2020-05-01,2023-06-10,26,5430,Online advertisements,0,4,U52,ignored,5.0,credit card,0,no,25
36221,2019-06-16,2021-06-09,13,12306,Word of mouth,0,4,I71,ignored,4.739610887400768,credit card,0,no,2
15894,2019-05-13,2023-07-04,23,5847,Traditional media outreach,1,5,Q88,purchased,4.056780739256307,cash,1,no,5
22114,2019-07-13,2021-07-19,14,7250,Word of mouth,1,6,I18,ignored,3.731421947361433,credit card,0,no,4
5550,2022-11-04,2023-02-05,23,12506,In-store promotions,0,1,Z11,opened mail,5.0,cash,0,no,3
27702,2019-11-08,2020-06-25,6,11551,Influencer endorsements,0,1,L32,opened mail,4.571872254509354,sezzle,0,no,5
15869,2019-05-25,2020-08-08,17,11352,Online advertisements,1,0,P08,ignored,5.0,debit card,0,no,4
14207,2023-05-31,2023-07-29,14,8455,Word of mouth,1,2,E52,ignored,5.0,credit card,0,no,14
49551,2019-05-25,2021-05-15,12,9802,Word of mouth,1,3,N70,ignored,5.0,credit card,0,no,10
46876,2020-02-23,2022-07-06,21,6072,Influencer endorsements,1,4,W51,ignored,5.0,apple pay,0,no,17
37058,2021-03-05,2021-10-09,10,8932,Influencer endorsements,1,6,R04,ignored,2.794082043476728,debit card,0,yes,8
14621,2020-02-01,2022-06-02,26,9324,Influencer endorsements,1,4,R52,opened mail,5.0,sezzle,0,no,26
15491,2020-08-23,2023-03-28,20,10485,Event sponsorships,1,0,P48,opened mail,5.0,cash,0,no,7
21642,2020-12-28,2022-02-19,20,12134,Influencer endorsements,0,6,T13,ignored,5.0,apple pay,0,no,16
30970,2019-07-21,2023-01-23,5,9264,Word of mouth,1,6,Z21,ignored,5.0,credit card,0,no,1
48188,2020-03-14,2020-06-28,17,5621,Online advertisements,1,4,Y79,ignored,5.0,credit card,0,no,5
22662,2021-04-18,2022-10-24,21,7260,In-store promotions,0,2,B26,opened mail,2.609449758380274,cash,0,yes,6
20633,2020-02-06,2022-06-20,29,7653,Online advertisements,1,0,S74,ignored,5.0,credit card,0,no,5
29761,2019-02-25,2022-10-16,21,8182,Word of mouth,1,2,P85,ignored,5.0,credit card,0,no,9
40522,2020-11-21,2020-12-12,6,11357,Influencer endorsements,0,0,Q09,ignored,5.0,apple pay,0,no,6
25347,2020-10-06,2020-10-21,19,5166,Social media promotions,1,4,J25,ignored,5.0,debit card,0,no,19
9949,2022-06-19,2022-12-23,13,7081,Event sponsorships,0,0,T14,opened mail,4.7508630665348655,cash,0,no,6
19513,2019-02-11,2020-11-30,18,12110,Influencer endorsements,0,1,O89,ignored,5.0,paypal,0,no,3
12516,2021-01-05,2022-03-17,7,11882,Word of mouth,0,6,L55,ignored,5.0,credit card,0,no,4
18326,2020-04-10,2020-07-16,22,9486,Traditional media outreach,0,3,M70,purchased,2.4525247242227186,cash,0,yes,4
21051,2019-10-29,2020-09-27,9,12364,Online advertisements,1,4,D44,ignored,5.0,credit card,0,no,5
14123,2020-02-20,2020-11-21,22,7065,Online advertisements,0,5,Q01,ignored,4.822262302613711,debit card,0,no,15
49796,2019-07-19,2023-07-07,38,7913,Social media promotions,0,3,T48,ignored,5.0,debit card,0,no,5
26519,2019-12-20,2021-06-01,21,4895,Word of mouth,1,4,D29,ignored,4.695378534005984,credit card,0,no,10
16925,2020-06-13,2021-04-25,23,10222,Social media promotions,0,3,H91,ignored,5.0,debit card,0,no,16
32325,2020-09-15,2023-04-09,17,6472,Word of mouth,0,1,P04,ignored,2.4471114074817826,credit card,0,yes,14
27384,2020-04-07,2022-03-26,14,12195,Social media promotions,0,3,R95,ignored,4.323233577067854,debit card,0,no,12
20724,2021-03-18,2021-06-14,23,8349,Online advertisements,0,0,Y83,ignored,4.013544323924402,debit card,0,no,23
42712,2019-07-16,2023-01-23,16,10433,Influencer endorsements,1,3,H01,opened mail,4.797105022334094,afterpay,0,no,4
15299,2020-02-04,2021-04-05,11,6955,In-store promotions,0,4,U19,opened mail,5.0,cash,0,no,3
36780,2020-07-25,2023-05-03,30,10770,Word of mouth,1,5,P44,ignored,3.35730946940805,credit card,0,yes,19
8524,2022-07-20,2023-01-27,25,8815,Online advertisements,1,5,I41,ignored,5.0,debit card,0,no,9
43684,2019-04-16,2023-01-12,31,10359,Online advertisements,0,2,Y16,ignored,5.0,debit card,0,no,19
47096,2020-10-02,2023-02-11,27,10393,Word of mouth,0,6,I26,ignored,5.0,credit card,0,no,22
42310,2020-11-19,2021-06-07,9,9421,In-store promotions,0,3,R40,opened mail,5.0,cash,0,no,8
45144,2023-04-16,2023-08-07,29,7307,Influencer endorsements,0,5,M43,ignored,4.3925707204031585,apple pay,0,no,10
14750,2019-10-30,2019-11-12,15,7314,Online advertisements,1,3,O63,ignored,4.663102035045169,credit card,0,no,15
22406,2020-03-24,2020-05-29,5,8270,Online advertisements,1,6,P63,ignored,5.0,debit card,0,no,5
11354,2019-11-24,2022-07-26,23,9485,Word of mouth,1,5,C82,ignored,2.2969173316773817,credit card,0,yes,16
46893,2021-11-15,2022-08-13,13,10946,Influencer endorsements,0,6,F08,ignored,5.0,debit card,0,no,3
16470,2020-12-09,2021-12-16,14,4795,Word of mouth,1,3,Z27,ignored,3.8946657206444626,credit card,0,no,10
42613,2021-12-23,2022-01-22,20,5338,Traditional media outreach,0,4,F18,purchased,5.0,eft,1,no,20
42432,2019-02-09,2023-07-12,29,6910,Influencer endorsements,0,3,X07,opened mail,2.6481104088762915,sezzle,0,yes,15
27451,2020-12-06,2021-10-12,16,9036,Social media promotions,0,6,K69,ignored,5.0,debit card,0,no,13
18969,2019-05-02,2020-08-26,23,6049,Influencer endorsements,0,4,Y07,ignored,3.8178730575039266,debit card,0,no,7
41309,2020-01-23,2020-03-16,13,8090,Event sponsorships,0,4,M96,opened mail,1.5660541560860533,cash,0,yes,13
21729,2022-06-28,2022-11-21,17,7835,Influencer endorsements,1,2,Q41,ignored,5.0,debit card,0,no,7
8719,2019-03-01,2023-03-29,27,7601,Online advertisements,1,5,U55,ignored,4.974561183736761,credit card,0,no,23
48900,2021-11-28,2022-08-22,10,8579,Online advertisements,0,0,G33,ignored,5.0,debit card,0,no,8
32166,2021-10-16,2023-08-04,21,7637,In-store promotions,1,4,R51,opened mail,5.0,cash,0,no,9
30871,2022-03-26,2023-05-09,12,8262,Influencer endorsements,0,6,P36,ignored,2.010947373831369,debit card,0,yes,2
29227,2020-02-28,2021-11-11,24,4458,Influencer endorsements,0,5,J73,ignored,5.0,paypal,0,no,5
29468,2021-01-13,2021-02-22,6,9338,In-store promotions,0,1,K93,opened mail,4.075062313827646,cash,0,no,6
41179,2020-08-27,2022-06-26,13,7371,In-store promotions,1,3,J00,opened mail,5.0,cash,0,no,12
11948,2019-02-19,2023-02-14,18,7745,Event sponsorships,0,6,I08,opened mail,4.280174068611624,cash,0,no,6
9180,2020-01-04,2021-02-26,30,6886,Word of mouth,0,1,B30,ignored,5.0,credit card,0,no,6
20146,2019-06-29,2021-08-23,22,4961,Influencer endorsements,1,6,L34,ignored,4.03806823114988,debit card,0,no,21
7284,2022-12-16,2023-04-26,22,8381,Influencer endorsements,1,3,T63,opened mail,4.771181696118228,google pay,0,no,3
27204,2021-03-29,2022-12-01,25,10661,Influencer endorsements,1,2,D45,opened mail,5.0,google pay,0,no,1
41306,2019-10-19,2022-07-30,30,6137,Influencer endorsements,0,6,T71,ignored,4.410688171675772,debit card,0,no,7
25382,2019-02-12,2020-07-13,17,7954,Word of mouth,0,4,U43,ignored,4.817446002325301,credit card,0,no,4
33566,2023-02-28,2023-03-05,30,11495,In-store promotions,1,0,H85,opened mail,5.0,cash,0,no,30
21077,2019-02-16,2021-03-24,11,12666,Influencer endorsements,0,4,F29,ignored,5.0,apple pay,0,no,5
44022,2021-07-25,2023-08-06,10,4694,Word of mouth,1,3,F34,ignored,2.403032334542549,credit card,0,yes,1
8503,2020-02-22,2021-05-30,19,12612,Social media promotions,1,6,N21,ignored,4.041927516964508,debit card,0,no,18
31175,2020-08-12,2022-11-07,17,9730,Online advertisements,0,0,F07,ignored,4.6734998608184695,credit card,0,no,14
24962,2021-07-09,2021-08-27,26,9055,Online advertisements,0,4,R26,ignored,2.9689484917533213,debit card,0,yes,26
39203,2019-10-24,2022-12-27,10,5509,Word of mouth,1,0,X94,ignored,4.655261262300759,credit card,0,no,9
48387,2019-02-22,2022-12-08,24,8171,Social media promotions,1,3,A45,ignored,2.2243724311175557,debit card,0,yes,15
21431,2020-08-31,2023-01-08,28,10523,Influencer endorsements,1,2,E90,ignored,5.0,debit card,0,no,10
11865,2023-02-24,2023-03-29,19,12047,Influencer endorsements,1,2,U44,ignored,5.0,debit card,0,no,19
29851,2019-04-09,2021-02-23,17,5574,Influencer endorsements,0,6,A84,ignored,2.22405241203235,paypal,0,yes,4
27944,2021-08-22,2021-11-03,2,5564,In-store promotions,1,4,I01,opened mail,1.5615290730544427,cash,0,yes,2
47133,2020-03-28,2023-03-05,23,8866,Online advertisements,1,1,L33,ignored,5.0,credit card,0,no,9
16225,2022-10-26,2023-01-20,10,9938,Word of mouth,1,3,R97,ignored,4.768315297928222,credit card,0,no,10
26286,2020-03-28,2020-09-29,28,11511,In-store promotions,0,4,M85,opened mail,5.0,cash,0,no,2
14987,2021-02-26,2023-07-28,22,7200,Word of mouth,0,4,C51,ignored,5.0,credit card,0,no,11
46329,2019-06-05,2021-11-16,14,9007,Traditional media outreach,1,2,L42,purchased,5.0,cash,1,no,9
20718,2020-04-10,2020-11-23,7,11662,In-store promotions,0,6,W47,opened mail,4.549047697517727,cash,0,no,3
12646,2019-03-19,2023-01-06,23,5941,Email campaigns,0,0,L31,ignored,5.0,debit card,0,no,7
17774,2022-07-13,2022-10-06,15,7165,Traditional media outreach,0,3,V50,purchased,5.0,eft,1,no,15
24386,2019-05-23,2020-02-19,22,8891,Word of mouth,1,0,I23,ignored,5.0,credit card,0,no,15
37564,2019-06-28,2023-02-06,31,7483,Online advertisements,1,5,P58,ignored,5.0,debit card,0,no,30
21031,2020-08-14,2022-10-16,19,9756,Influencer endorsements,0,5,Q49,ignored,4.810809896482471,debit card,0,no,9
8287,2020-02-01,2021-11-26,22,6257,Online advertisements,1,3,I65,ignored,4.069004839200402,debit card,0,no,9
5469,2019-11-11,2022-01-12,27,5169,Event sponsorships,1,6,U61,opened mail,5.0,cash,0,no,15
38704,2021-04-29,2022-01-27,30,5822,Word of mouth,0,1,N54,ignored,5.0,credit card,0,no,4
26095,2019-08-08,2020-01-24,28,7372,Influencer endorsements,0,5,P52,ignored,5.0,debit card,0,no,2
11342,2021-04-13,2021-04-21,24,6272,Influencer endorsements,1,2,Y71,ignored,5.0,debit card,0,no,24
9159,2022-05-06,2022-07-19,8,9999,Influencer endorsements,0,1,S54,ignored,4.399675890441871,paypal,0,no,8
6240,2022-04-13,2023-01-19,11,6669,Online advertisements,1,4,N91,ignored,4.721809795885717,credit card,0,no,6
46141,2019-03-27,2021-05-09,29,9675,Online advertisements,1,5,H29,ignored,5.0,debit card,0,no,7
20157,2022-03-31,2023-04-29,10,9149,In-store promotions,0,2,U27,opened mail,4.753558584739126,cash,0,no,9
42637,2019-07-19,2020-03-07,15,10971,Online advertisements,1,4,X67,ignored,5.0,credit card,0,no,10
24036,2020-03-02,2021-07-02,6,9472,In-store promotions,1,1,P45,opened mail,4.935521285464403,cash,0,no,1
45777,2019-04-14,2020-05-11,30,9863,Influencer endorsements,0,3,W88,ignored,5.0,debit card,0,no,6
43878,2021-03-28,2021-04-21,1,11850,Influencer endorsements,0,4,I73,opened mail,5.0,google pay,0,no,1
46074,2019-08-09,2020-09-04,19,8359,Influencer endorsements,0,0,N97,ignored,4.421576237370635,apple pay,0,no,19
26594,2020-12-12,2021-02-04,3,5713,Online advertisements,1,3,V01,ignored,4.280547023287719,credit card,0,no,3
9520,2020-07-22,2022-06-01,10,12247,Influencer endorsements,0,3,L57,ignored,5.0,debit card,0,no,8
44559,2021-06-26,2022-12-16,9,5470,In-store promotions,0,1,P88,opened mail,5.0,cash,0,no,8
